Article.ID,Summarize,1.1.Geography,1.1.1.Geography-Country,2.1.1.Actors.Institutions,DEPTH SCORE,4.4.1.Depth,Title,Journal,Authors,Citation,Citation.1
7851117,"This research applied the lens of complex adaptive systems theory to analyze adaptation pathways of agricultural systems in the Red River and Mekong deltas in Vietnam, with analysis based on 27 in-depth interviews with  authorities as well as 198 semi-structured interviews and 11 focus group discussions conducted with farmers, the results show that a dynamic interplay and feedback of various drivers of change such as policy intervention, farmers' desire for profit maximization, changing salinity conditions, and technological development at different levels of the deltaic social-ecological system have shaped the changes and adaptations in agricultural systems.|||. This research applied the lens of complex adaptive systems theory to analyze current and historical drivers of change and adaptation pathways of agricultural systems to increased salinity intrusion in coastal areas of the Red River and Mekong deltas in Vietnam since 1975.  The results show that a dynamic interplay and feedback of various drivers of change such as policy intervention, farmers' desire for profit maximization, changing salinity conditions, and technological development at different levels of the deltaic social-ecological system have shaped the changes and adaptations in agricultural systems over the last decades", Asia,Vietnam, Individuals or households||| Local government||| National government,Medium,Both incremental changes and transformative changes|||Range from shallow to deep,Drivers of change and adaptation pathways of agricultural systems facing increased salinity intrusion in coastal areas of the Mekong and Red River deltas in Vietnam,ENVIRONMENTAL SCIENCE & POLICY,"Nguyen, MT; Renaud, FG; Sebesvari, Z","Nguyen, MT; Renaud, FG; Sebesvari, Z, Drivers of change and adaptation pathways of agricultural systems facing increased salinity intrusion in coastal areas of the Mekong and Red River deltas in Vietnam, ENVIRONMENTAL SCIENCE & POLICY","Nguyen, MT; Renaud, FG; Sebesvari, Z, Drivers of change and adaptation pathways of agricultural systems facing increased salinity intrusion in coastal areas of the Mekong and Red River deltas in Vietnam, ENVIRONMENTAL SCIENCE & POLICY"
7851118,"Interviews with farmers, policymakers and members of civil society organizations about the challenges and opportunities that agroforestry faces, as well as field visits to agroforestry projects revealed a wide range of agroforestry initiatives in Bolivia that provide ecosystem services, food and income to local families, and these interviews attributed a high potential to agroforestry, for example, to promote biodiversity, water conservation, food sovereignty and adaptation to climate change impacts.|||Interviews with farmers, policymakers and members of civil society organizations about the challenges and opportunities that agroforestry faces, as well as field visits to agroforestry projects revealed a wide range of agroforestry initiatives in Bolivia that provide ecosystem services, food and income to local families.  All interviewees attributed a high potential to agroforestry, for example, to promote biodiversity, water conservation, food sovereignty and adaptation to climate change impacts. However, agroforestry initiatives lacked support.", Central and South America,Bolivia, Civil Society- international/multinational/national||| Civil Society- sub-national or local||| Individuals or households||| Other,Medium,Transformation change - tree planting and maintaining is time and labour investment|||Moderate,Agroforestry in Bolivia: opportunities and challenges in the context of food security and food sovereignty,ENVIRONMENTAL CONSERVATION,"Jacobi, J","Jacobi, J, Agroforestry in Bolivia: opportunities and challenges in the context of food security and food sovereignty, ENVIRONMENTAL CONSERVATION","Jacobi, J, Agroforestry in Bolivia: opportunities and challenges in the context of food security and food sovereignty, ENVIRONMENTAL CONSERVATION"
7851127,"The study describes traditional rituals that are used by women in rural communities in Limpopo, South Africa, as a response to rainfall scarcity. The paper does not describe any tangible changes in behaviour or practices based on the responses. It rather describes coping structures that reduce the communities' existing vulnerability. Therefore, the paper should be excluded.|||Article examines the adaptive practices of indigenous women in South Africa",Africa,South Africa, Individuals or households,Low,|||Depth is not addressed but appears limited,Rainfall scarcity and its impacts on subsistence farming: the role of gender and religious rituals in adaptation to change,AGENDA-EMPOWERING WOMEN FOR GENDER EQUITY,"Rankoana, SA","Rankoana, SA, Rainfall scarcity and its impacts on subsistence farming: the role of gender and religious rituals in adaptation to change, AGENDA-EMPOWERING WOMEN FOR GENDER EQUITY","Rankoana, SA, Rainfall scarcity and its impacts on subsistence farming: the role of gender and religious rituals in adaptation to change, AGENDA-EMPOWERING WOMEN FOR GENDER EQUITY"
7851128,"Examines direct seeded rice technologies in adapting to climate risks. in India|||The study focused on assessment of adoption of DSR cultivation technology (sustainable alternative rice ecosystem) in the state of Haryana with results that adoption was low to moderate|||the paper assesses the adoption of direct seeded rice cultivation technology in view of depleting water resources, reduced labour and climate risks|||The paper focuses on assessment of adoption of Direct Seeded Rice (DSR) cultivation technology in the State of Haryana in view of depleting water resources, reduced labour use and climate risks being major concerns in conventional method of rice cultivation.", Asia,India|||Haryana, Individuals or households,Low,not particularly descriptive of depth - illustrates more the need to integrate those 19 practices listed into more routine in those villages|||Shallow|||Limited|||Limited,Adoption status of direct seeded rice cultivation technology in Haryana,,"Rohila, A.K.; Ghanghas, B.S.; Shehrawat, P.S.","Rohila, A.K.; Ghanghas, B.S.; Shehrawat, P.S., Adoption status of direct seeded rice cultivation technology in Haryana, ","Rohila, A.K.; Ghanghas, B.S.; Shehrawat, P.S., Adoption status of direct seeded rice cultivation technology in Haryana, "
7851132,"Evaluates the agricultural adaptation responses to climate change taken by farmers in Turkey and their yield impacts|||Study exploring the impact of adaptation responses on yield implications, informed by smallholder farmers in Turkey.", Asia,Turkey, Individuals or households,Low,Limited - autonomous adaptation reponse with little institutional support|||Shallow depth,Yield implications of date and cultivar adaptation to wheat phenological shifts: a survey of farmers in Turkey,,"Karapinar, B.; Ãƒâ€“zertan, G.","Karapinar, B.; Ãƒâ€“zertan, G., Yield implications of date and cultivar adaptation to wheat phenological shifts: a survey of farmers in Turkey, ","Karapinar, B.; Ãƒâ€“zertan, G., Yield implications of date and cultivar adaptation to wheat phenological shifts: a survey of farmers in Turkey, "
7851134,"This article digs into how citizen science in the fisheries realm helps guide adaptive management regimes and fisheries management on the Mexican Pacific coast.|||This paper analyses case studies of citizen science projects developed in collaboration with small-scale fishing communities in Mexico's Pacific Ocean, Gulf of California and Caribbean Sea.", North America,Mexico, Individuals or households||| Civil Society- international/multinational/national||| Sub-national government||| Local government||| Civil Society- sub-national or local,Medium,links information to actual management decisions impacting local communities|||Indepth,Untapped Potential of Citizen Science in Mexican Small-Scale Fisheries,FRONTIERS IN MARINE SCIENCE,"Fulton, S; Lopez-Sagastegui, C; Weaver, AH; Fitzmaurice-Cahluni, F; Galindo, C; Melo, FFR; Yee, S; Ojeda-Villegas, MB; Fuentes, DA; Torres-Bahena, E","Fulton, S; Lopez-Sagastegui, C; Weaver, AH; Fitzmaurice-Cahluni, F; Galindo, C; Melo, FFR; Yee, S; Ojeda-Villegas, MB; Fuentes, DA; Torres-Bahena, E, Untapped Potential of Citizen Science in Mexican Small-Scale Fisheries, FRONTIERS IN MARINE SCIENCE","Fulton, S; Lopez-Sagastegui, C; Weaver, AH; Fitzmaurice-Cahluni, F; Galindo, C; Melo, FFR; Yee, S; Ojeda-Villegas, MB; Fuentes, DA; Torres-Bahena, E, Untapped Potential of Citizen Science in Mexican Small-Scale Fisheries, FRONTIERS IN MARINE SCIENCE"
7851142,The authors describe the effects of hapas (a rainwater harvesting infrastructure) on water intensity among agricultural producers in western India.|||The paper finds that proper management and harvesting of surface and subsurface runoffs in hapas can facilitate groundwater recharge and increase both net irrigated area and moisture in soil leading to higher cropping intensity and yield in dryland areas, Asia,India, Individuals or households,Low,"The depth of change is limited to the one adaptation-related response, which comprises changes in agricultural practices.|||small - hapa irrigation has been in use for many years so people change is not huge",Hapa irrigation for promoting sustainable agricultural intensification: experience from Bankura district of India,,"Pani, A.; Mishra, P.","Pani, A.; Mishra, P., Hapa irrigation for promoting sustainable agricultural intensification: experience from Bankura district of India, ","Pani, A.; Mishra, P., Hapa irrigation for promoting sustainable agricultural intensification: experience from Bankura district of India, "
7851155,"A study exploring farmers' perceptions of climate change and their adaptation responses in Bangladesh.|||""Using long-term district-level climate data and a case study from a drought-prone village in westernBangladesh, this research explored trends in climate change, and analysed farmers' adaptation dynamics,profitability and risks.""", Asia,Bangladesh, Individuals or households,Low,|||Small,"Farm-level adaptation to climate change in Western Bangladesh: An analysis of adaptation dynamics, profitability and risks",LAND USE POLICY,"Kabir, MJ; Alauddin, M; Crimp, S","Kabir, MJ; Alauddin, M; Crimp, S, Farm-level adaptation to climate change in Western Bangladesh: An analysis of adaptation dynamics, profitability and risks, LAND USE POLICY","Kabir, MJ; Alauddin, M; Crimp, S, Farm-level adaptation to climate change in Western Bangladesh: An analysis of adaptation dynamics, profitability and risks, LAND USE POLICY"
7851158,Article is on sorghum production and discusses farmers' adaptation strategies but does not provide the necessary detail for review.|||Adaptaion strategies used by sorghum farmers in Benin,Africa,Benin, Individuals or households,Low,|||In depth,Climate variability and status of the production and diversity of sorghum (Sorghum bicolor (L.) Moench) in the arid zone of northwest Benin,GENETIC RESOURCES AND CROP EVOLUTION,"Dossou-Aminon, I; Dansi, A; Ahissou, H; Cisse, N; Vodouhe, R; Sanni, A","Dossou-Aminon, I; Dansi, A; Ahissou, H; Cisse, N; Vodouhe, R; Sanni, A, Climate variability and status of the production and diversity of sorghum (Sorghum bicolor (L.) Moench) in the arid zone of northwest Benin, GENETIC RESOURCES AND CROP EVOLUTION","Dossou-Aminon, I; Dansi, A; Ahissou, H; Cisse, N; Vodouhe, R; Sanni, A, Climate variability and status of the production and diversity of sorghum (Sorghum bicolor (L.) Moench) in the arid zone of northwest Benin, GENETIC RESOURCES AND CROP EVOLUTION"
7851161,"""I present evidence on the crucial context-specific dimensions of socio-ecological vulnerability for these smallholder farmers-1) water resources and access to them; 2) agricultural knowledge, including farmers' own knowledge and their interactions with sources like government-run agricultural extension and NGOs; and 3) existing drought-coping strategies-and the heterogeneity among farmers across these dimensions...My primary focus is the existing inequalities among smallholder farmers and how these may shift with climate change"" - this article does not appear to empirically describing human adaptive responses to climate change|||The relevant section illustrates that  farmers change their practices to varying extents during drought.",Africa,Tanzania, Individuals or households||| Civil Society- sub-national or local||| Local government,Low,|||Limited,Moving the Conversation on Climate Change and Inequality to the Local: Socio-ecological Vulnerability in Agricultural Tanzania.,"Sociology of development (Oakland, Calif.)","Teller, Amy S","Teller, Amy S, Moving the Conversation on Climate Change and Inequality to the Local: Socio-ecological Vulnerability in Agricultural Tanzania., Sociology of development (Oakland, Calif.)","Teller, Amy S, Moving the Conversation on Climate Change and Inequality to the Local: Socio-ecological Vulnerability in Agricultural Tanzania., Sociology of development (Oakland, Calif.)"
7851163,"The study identified the major adaptation practices that are adopted by farmers to cope with the impacts of climate change and using available on-farm technologies.|||A study exploring the determinants of and barriers to adoption of adaptation-related responses to climate change by smallholder farmers in Uganda, with discussion of adaptation-related responses.",Africa,Uganda, Individuals or households,Low,"|||Shallow- farmer-led, no mention of institutions/wider society transformation","Analysis of Farmer's Choices for Climate Change Adaptation Practices in South-Western Uganda, 1980-2009",CLIMATE,"Zizinga, A; Kangalawe, RYM; Ainslie, A; Tenywa, MM; Majaliwa, J; Saronga, NJ; Amoako, EE","Zizinga, A; Kangalawe, RYM; Ainslie, A; Tenywa, MM; Majaliwa, J; Saronga, NJ; Amoako, EE, Analysis of Farmer's Choices for Climate Change Adaptation Practices in South-Western Uganda, 1980-2009, CLIMATE","Zizinga, A; Kangalawe, RYM; Ainslie, A; Tenywa, MM; Majaliwa, J; Saronga, NJ; Amoako, EE, Analysis of Farmer's Choices for Climate Change Adaptation Practices in South-Western Uganda, 1980-2009, CLIMATE"
7851165,"'This paper evaluated agricultural practices under changing climate in the Koshi Basin and assessed adaptation options.'|||Using biophysical and social analysis methods, this paper evaluated agricultural practices under changing climate in the Koshi Basin, Nepal and assessed adaptation options, however, household surveys (n =491) showed that despite the perceived impacts on agriculture and livelihoods, only limited adaptation options are currently practised.", Asia,"Nepal|||Nepal, India", National government||| Local government||| Individuals or households||| Civil Society- sub-national or local,Low,Limited adaptation options are currently practiced.|||Limited - the responses are not being implemented and are not working,Agriculture under changing climate conditions and adaptation options in the Koshi Basin,CLIMATE AND DEVELOPMENT,"Bastakoti, RC; Bharati, L; Bhattarai, U; Wahid, SM","Bastakoti, RC; Bharati, L; Bhattarai, U; Wahid, SM, Agriculture under changing climate conditions and adaptation options in the Koshi Basin, CLIMATE AND DEVELOPMENT","Bastakoti, RC; Bharati, L; Bhattarai, U; Wahid, SM, Agriculture under changing climate conditions and adaptation options in the Koshi Basin, CLIMATE AND DEVELOPMENT"
7851166,"This study examines adaptation strategies of aquaculture production farmers in the Niger Delta.|||a. This study therefore, review critically, based on existing literature and field experience, the causes of climate change, impact of climate change on aquaculture production such as: increase in temperature, flooding of ponds, increase in water turbidity, heavy siltation of pond bottom, introduction of new species, collapse of farms infrastructure and fluctuations in salinity levels. Also, various adaptation and mitigation strategies that will ameliorate the impact of climate change in aquaculture operations",Africa,Niger Delta|||Nigeria, Individuals or households||| National government,Medium,Lacking in good description here|||moderate - if implemented it is implied to protect against climate change but this has not been proven yet,Impact of climate change on brackish water aquaculture development in the coastal areas of Niger Delta,Int. J. Agric. Res.,"Akinrotimi, O.A.; Edun, O.M.","Akinrotimi, O.A.; Edun, O.M., Impact of climate change on brackish water aquaculture development in the coastal areas of Niger Delta, Int. J. Agric. Res.","Akinrotimi, O.A.; Edun, O.M., Impact of climate change on brackish water aquaculture development in the coastal areas of Niger Delta, Int. J. Agric. Res."
7851169,"This paper provides adaptation options and scopes relevant appraisal methods in agriculture focussing on livestock production specifically. The authors find that for many adaptation options for livestock agriculture, standard (expected) cost-benefit analysis is an appropriate tool. For adaptation options requiring long lead times or those with long lifetimes, techniques incorporating uncertainty (Ã¢â‚¬Ëœrobust' methods) are more suitable, including real options analysis, portfolio analysis and robust decision making.|||From a comprehensive list of adaptation options in the livestock sector, we identify the most appropriate appraisal technique for each option and describe how the robust appraisal tools could be applied to heat stress, flood risk and water management.", Europe,, Individuals or households||| Other,Not certain / Insufficient information / Not assessed,"Variable but most described here are incremental changes, as also noted by the authors|||Incremental to long term",A guide towards climate change adaptation in the livestock sector: adaptation options and the role of robust decision-making tools for their economic appraisal,REGIONAL ENVIRONMENTAL CHANGE,"Dittrich, R; Wreford, A; Topp, CFE; Eory, V; Moran, D","Dittrich, R; Wreford, A; Topp, CFE; Eory, V; Moran, D, A guide towards climate change adaptation in the livestock sector: adaptation options and the role of robust decision-making tools for their economic appraisal, REGIONAL ENVIRONMENTAL CHANGE","Dittrich, R; Wreford, A; Topp, CFE; Eory, V; Moran, D, A guide towards climate change adaptation in the livestock sector: adaptation options and the role of robust decision-making tools for their economic appraisal, REGIONAL ENVIRONMENTAL CHANGE"
6714240,"toreview|||In this study, the authors conducted surveys with private forest owners (PFOs), private and public actors of forest management and timber sector in Wallonia (Belgium) to empirically explore which practices are implemented by Walloon PFOs in their forest management and which factors can influence adaptive processes. In addition, they also investigated how adaptation is defined and implemented by other economic or political actors, both in the public and in the private sectors.", Europe,Belgium, Sub-national government||| Private sector SMEs||| Civil Society- international/multinational/national||| Civil Society- sub-national or local,Low,"|||In spite of the fact that implementing adaptive measures is a trend, there is still a long way to go. In-depth change is necessary for an effective implementation of adaptive measures, as it would require improvements on the communication and participatory mechanisms. Furthermore, there is an absence of collective reflection on adaptation for the whole forest and timber sector.",Private forest owners facing climate change in Wallonia: Adaptive capacity and practices,ENVIRONMENTAL SCIENCE & POLICY,"van Gameren, V; Zaccai, E","van Gameren, V; Zaccai, E, Private forest owners facing climate change in Wallonia: Adaptive capacity and practices, ENVIRONMENTAL SCIENCE & POLICY","van Gameren, V; Zaccai, E, Private forest owners facing climate change in Wallonia: Adaptive capacity and practices, ENVIRONMENTAL SCIENCE & POLICY"
6714241,"A survey of yam farmers in Nigeria found several adaptation strategies that they were using.|||The study investigated farmers adaptation strategies to the effect of climate variation on yam production in Ekiti State with the specific objectives of assessing the socio-economic characteristics of farmers, farmers' climate related constraints, the adaptation strategies employed by farmers, and yam farmers' level of production",Africa,Nigeria, Individuals or households,Low,"Limited depth, mainly cropping practices.|||limited","Farmers adaptation strategies to the effect of climate variation on yam production in Ekiti State, Nigeria",JOURNAL OF FOOD AGRICULTURE & ENVIRONMENT,"Oluwasusi, JO","Oluwasusi, JO, Farmers adaptation strategies to the effect of climate variation on yam production in Ekiti State, Nigeria, JOURNAL OF FOOD AGRICULTURE & ENVIRONMENT","Oluwasusi, JO, Farmers adaptation strategies to the effect of climate variation on yam production in Ekiti State, Nigeria, JOURNAL OF FOOD AGRICULTURE & ENVIRONMENT"
6714242,"Thisstudyinvestigatedkeyfactorsaffectingtheadaptivecapacityofshrimp farmers inThailand to increasingclimatevariability,particularly flooding. The manuscript also evaluate the suiitability of different strategies adopted byshrimp  farmers to reduce the vulnerability and impacts of climate change|||The paper examines factors influencing vulnerability and adaptation of shrimp farming in Thailand. It finds that the main adaptive practices employed by shrimp farmers  are placing nets around ponds and constructing dykes to enclose shrimp ponds.", Asia,Thailand, Individuals or households,Low,|||shallow,Key factors affecting the flood vulnerability and adaptation of the shrimp farming sector in Thailand,INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION,"Seekao, C; Pharino, C","Seekao, C; Pharino, C, Key factors affecting the flood vulnerability and adaptation of the shrimp farming sector in Thailand, INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION","Seekao, C; Pharino, C, Key factors affecting the flood vulnerability and adaptation of the shrimp farming sector in Thailand, INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION"
6714243,the paper attempts to investigate how farmers lead the process of rural innovations that constitute successful forms of adaptation to address the mixed impacts of dyke policies and climate change in two distinct agro-ecological zones|||Article examines farmer-led adaptive practices in the Mekong Delta, Asia,Vietnam, Individuals or households,Medium,"moderate - this is not specifically measured but the authors seem to think that these innovations are critical to farmer success|||Depth is limited to moderate, with widespread adaptation that is more than autonomous but not yet part of policy.",Adaptation to flood and salinity environments in the Vietnamese Mekong Delta: Empirical analysis of farmer-led innovations,AGRICULTURAL WATER MANAGEMENT,"Tran, TA; Nguyen, TH; Vo, TT","Tran, TA; Nguyen, TH; Vo, TT, Adaptation to flood and salinity environments in the Vietnamese Mekong Delta: Empirical analysis of farmer-led innovations, AGRICULTURAL WATER MANAGEMENT","Tran, TA; Nguyen, TH; Vo, TT, Adaptation to flood and salinity environments in the Vietnamese Mekong Delta: Empirical analysis of farmer-led innovations, AGRICULTURAL WATER MANAGEMENT"
6714245,"assesses barriers to on-farm crop management measures in  Dejen District, Ethiopia|||This paper reviews barriers that hinder adoption of adaptation measures, but also highlights some activities that farmers are undertaking to adapt to changing climate in Ethiopia.",Africa,Ethiopia, Individuals or households,Low,"high levels of implementation at the hh level, but no management that is revolutionary.|||limited depth","Barriers to and determinants of the choice of crop management strategies to combat climate change in Dejen District, Nile Basin of Ethiopia",Agric. Food Secur.,"Amare, Z.Y.; Ayoade, J.O.; Adelekan, I.O.; Zeleke, M.T.","Amare, Z.Y.; Ayoade, J.O.; Adelekan, I.O.; Zeleke, M.T., Barriers to and determinants of the choice of crop management strategies to combat climate change in Dejen District, Nile Basin of Ethiopia, Agric. Food Secur.","Amare, Z.Y.; Ayoade, J.O.; Adelekan, I.O.; Zeleke, M.T., Barriers to and determinants of the choice of crop management strategies to combat climate change in Dejen District, Nile Basin of Ethiopia, Agric. Food Secur."
6714246,a large-scale survey shows that farmers in China respond to flood and drought by diversifying crops.|||farmers respond to increased drought and flood events by diversifying crops, Asia,"China|||""nine  provinces include Hebei, Henan, Shandong, Jilin, and  Anhui in northern China and Jiangxi, Guangdong, Yunnan, and Jiangsu in southern China""", Individuals or households,Low,"Crop diversification is not a new response to change or to severe weather, but rather represents an expansion of existing behavior.|||Shallow",Crop Diversification in Coping with Extreme Weather Events in China,JOURNAL OF INTEGRATIVE AGRICULTURE,"Huang, JK; Jiang, J; Wang, JX; Hou, LL","Huang, JK; Jiang, J; Wang, JX; Hou, LL, Crop Diversification in Coping with Extreme Weather Events in China, JOURNAL OF INTEGRATIVE AGRICULTURE","Huang, JK; Jiang, J; Wang, JX; Hou, LL, Crop Diversification in Coping with Extreme Weather Events in China, JOURNAL OF INTEGRATIVE AGRICULTURE"
6714247,"this paper is concerned with adaptation by fish producer organizations in Portugal|||fish producer organizations mitigate risks of climate change through primarily market-manipulation|||The study analyses the adaptability of Fish Producer Organizations to environmental and market change in Portugal|||This study evaluate the adaptation measures of Portuguese fishers to global change bycreate Fish Producer Organizations (PO), with obvious market advantages for fishers. The study also evaluate different strategies of distinct PO. And conclude thatInternal adaptation could improve PO contribution to sustainable fisheries management, but it is not a panacea. Official market regime and the internal structure of POs need to change as they sustain overfishing as well as fisher vulnerability and self-interest. The adaptive strategies evident in some of the POs, both intentional and agency-reliant, demonstrate ways to deal with these problems.", Europe,Portgual|||Portugal, Civil Society- sub-national or local,Medium,medium|||no|||in-depth,Adapting to environmental and market change: Insights from Fish Producer Organizations in Portugal,OCEAN & COASTAL MANAGEMENT,"Karadzic, V; Antunes, P; Grin, J","Karadzic, V; Antunes, P; Grin, J, Adapting to environmental and market change: Insights from Fish Producer Organizations in Portugal, OCEAN & COASTAL MANAGEMENT","Karadzic, V; Antunes, P; Grin, J, Adapting to environmental and market change: Insights from Fish Producer Organizations in Portugal, OCEAN & COASTAL MANAGEMENT"
6714248,"The article reviews agroecological practices and their potential to resond to Agroecological practices for climate change adaptation in semiarid and subhumid Africa|||The paper documents agroecological practices that have some potential to help farmers adapt to climate change. While several of these are already practised by farmers, some farmers are applying combinations of practices specifically in response to climate stresses.",Africa,"Senegal, Burkina Faso, Ivory Coast|||Ivory Coast, Senegal, Burkina Faso", Civil Society- international/multinational/national||| Individuals or households||| Civil Society- sub-national or local,Low,The new adaptation practices identified in the article seems to be those that follow the structures of the already widely practised traditional adaptation practice. Therefore this is of limited depth|||Limited - these are practices that are already being followed in the region. The research attempts to document these practices.,Agroecological practices for climate change adaptation in semiarid and subhumid Africa,AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS,"Debray, V; Wezel, A; Lambert-Derkimba, A; Roesch, K; Lieblein, G; Francis, CA","Debray, V; Wezel, A; Lambert-Derkimba, A; Roesch, K; Lieblein, G; Francis, CA, Agroecological practices for climate change adaptation in semiarid and subhumid Africa, AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS","Debray, V; Wezel, A; Lambert-Derkimba, A; Roesch, K; Lieblein, G; Francis, CA, Agroecological practices for climate change adaptation in semiarid and subhumid Africa, AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS"
6714249,"Overview of agricultural and pastoral strategies to stress, and description of hard limits to adaptation|||This paper reviews socio-economic factors influencing agro-pastoral communities response to climate change. It finds thatThe coping strategies include shifting cultivation, vegetable gardens, pasture trekking, digging boreholes in sand rivers, mixed cropping including earlier maturing crops (groundnuts) and drought resistant crops such as sorghum.|||""The aim of this study was therefore, to assess socio-economic and ecological factors to respond to the climate variability and change for the agro-pastoral communities in Gairo district of central Tanzania.""",Africa,Tanzania, Individuals or households,Low,limited|||Limited|||Limited depth - mostly expansion of existing practices,Socio-economic and ecological dimensions of climate variability and change for agro-pastoral communities in central Tanzania,Livest. Res. Rural Dev.,"Sangeda, A.Z.; Maleko, D.D.; Mtengeti, E.J.","Sangeda, A.Z.; Maleko, D.D.; Mtengeti, E.J., Socio-economic and ecological dimensions of climate variability and change for agro-pastoral communities in central Tanzania, Livest. Res. Rural Dev.","Sangeda, A.Z.; Maleko, D.D.; Mtengeti, E.J., Socio-economic and ecological dimensions of climate variability and change for agro-pastoral communities in central Tanzania, Livest. Res. Rural Dev."
6714250,"this paper generates empirical evidence on emerging agricultural innovations in contrasting socio-economic, geographical and agroecological contexts in 15 locations in India, Nepal and Bangladesh. This study concludes that there is a need for stronger collaborations between research institutions, extension systems, civil society and the private sector actors to enhance emerging adaptive innovations at the farm level.|||the paper demostrates that several farm innovations were created as a response to agricultural adaptation in South Asia", Asia,"7 sites from India, 4 from Nepal and 4 from coastal Bangladesh|||India|||Nepal|||Bangladesh", Individuals or households||| Local government,Medium,deep study with good number of observations and experienced based adaptation measures|||in depth,Agricultural innovation and adaptation to climate change: empirical evidence from diverse agro-ecologies in South Asia,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,"Bhatta, GD; Ojha, HR; Aggarwal, PK; Sulaiman, VR; Sultana, P; Thapa, D; Mittal, N; Dahal, K; Thomson, P; Ghimire, L","Bhatta, GD; Ojha, HR; Aggarwal, PK; Sulaiman, VR; Sultana, P; Thapa, D; Mittal, N; Dahal, K; Thomson, P; Ghimire, L, Agricultural innovation and adaptation to climate change: empirical evidence from diverse agro-ecologies in South Asia, ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY","Bhatta, GD; Ojha, HR; Aggarwal, PK; Sulaiman, VR; Sultana, P; Thapa, D; Mittal, N; Dahal, K; Thomson, P; Ghimire, L, Agricultural innovation and adaptation to climate change: empirical evidence from diverse agro-ecologies in South Asia, ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY"
6714251,"The study evaluates perceptions and evaluations of farmers towards adaptation options. It does not review any specific implemented adaptive responses. It should therefore be excluded.|||Example: ""In the next step, we examined which adaptation measures farmers are likely to implement on their farm to meet challenges posed by a changing climate. Figure 3 shows considerable dif- ferences in the acceptance or rejection (in %) of various measures.""|||The study aims to track grassland farmers' perceptions in relation to climate change and which factors influence their attitude. Several regions in the North German Plain were included in the analysis and the results are relevant to the development of coherent European adaptation practices that serve farmers more effectively.|||The study investigates northern German farmers attitudes to a set of possible adaptation measures. The study does not analyse adaptation measures that have been implemented.", Europe,Germany, Individuals or households,Low,|||Limited|||,Grassland farmers' attitudes toward climate change in the North German Plain,REGIONAL ENVIRONMENTAL CHANGE,"Eggers, M; Kayser, M; Isselstein, J","Eggers, M; Kayser, M; Isselstein, J, Grassland farmers' attitudes toward climate change in the North German Plain, REGIONAL ENVIRONMENTAL CHANGE","Eggers, M; Kayser, M; Isselstein, J, Grassland farmers' attitudes toward climate change in the North German Plain, REGIONAL ENVIRONMENTAL CHANGE"
6714252,Farmer adaptation responses in Niger are enumerated|||Farmer's awareness and perceptions of climate change impacts influences these strategies and hence farmers' level of adaptation.,Africa,Niger|||Aguie district in Niger, Individuals or households,Not certain / Insufficient information / Not assessed,NA not data provided on specific adaptations|||No data provided,Farmers' awareness and perception of climate change impacts: case study of Aguie district in Niger,Environ. Dev. Sustainability,"Ado, A.M.; Leshan, J.; Savadogo, P.; Bo, L.; Shah, A.A.","Ado, A.M.; Leshan, J.; Savadogo, P.; Bo, L.; Shah, A.A., Farmers' awareness and perception of climate change impacts: case study of Aguie district in Niger, Environ. Dev. Sustainability","Ado, A.M.; Leshan, J.; Savadogo, P.; Bo, L.; Shah, A.A., Farmers' awareness and perception of climate change impacts: case study of Aguie district in Niger, Environ. Dev. Sustainability"
6714253,"88% indicate that their adaptation measures are insufficient and spend extra costs. The costs should not only be conceived in monetary terms, but also in terms of time investment, social-cohesion and livelihood security.|||This study surveyed heads of households in the Punakha district in Bhutan using qualitative and quantitative tools to understand how farmers adapt to changes in water availability. This was a part of a larger study on loss and damage in vulnerable countries coordinated by UN University.|||As part of a wider study on loss and damage in vulnerable countries, coordinated by the UN University, we set out to study adaptation measures and associated loss and damage among farmers in Punakha district, Bhutan.|||Through qualitative and quantitative research, this paper attempts to explore how farmers adapt to changes in water availability n Punakha district, Bhutan", Asia,Bhutan, Individuals or households||| National government||| Local government,Low,|||Low depth- the study focuses on ongoing farmer practices under business as usual|||small and limited depth|||Limited to practicing household,"The costs of adaptation: changes in water availability and farmers' responses in Punakha district, Bhutan",INTERNATIONAL JOURNAL OF GLOBAL WARMING,"Kusters, K; Wangdi, N","Kusters, K; Wangdi, N, The costs of adaptation: changes in water availability and farmers' responses in Punakha district, Bhutan, INTERNATIONAL JOURNAL OF GLOBAL WARMING","Kusters, K; Wangdi, N, The costs of adaptation: changes in water availability and farmers' responses in Punakha district, Bhutan, INTERNATIONAL JOURNAL OF GLOBAL WARMING"
